Time (s),A-output,B-output
2.475000,0.005656,0.006980
2.480000,-0.003261,0.008547
2.485000,-0.008061,0.012581
2.490000,-0.013639,0.013460
2.495000,-0.007614,0.012180
2.519963,-0.003428,0.013252
2.524963,-0.002036,0.005215
2.529963,0.000041,0.000732
2.534963,0.006896,0.000293
2.539963,0.010508,-0.002574
2.544963,0.013591,-0.001408
2.549963,0.016286,-0.000910
2.554963,0.012190,0.003556
2.559963,0.014074,0.006737
2.564963,0.010908,0.010324
2.569963,0.007742,0.010984
2.574963,0.000972,0.015948
2.579963,-0.002904,0.019694
2.584963,-0.008131,0.019401
2.589963,-0.002208,0.009552
2.594963,-0.001108,0.001055
2.599963,-0.000552,0.001934
2.604963,-0.001880,0.000805
2.609963,-0.001749,-0.006244
2.614963,0.000681,-0.009219
2.619963,0.001462,-0.000133
2.624963,0.003268,0.006843
2.629963,-0.004366,0.014752
2.634963,-0.006532,0.019833
2.639963,-0.012702,0.017861
2.644963,-0.011107,0.012624
2.649963,-0.013577,0.003137
2.654963,-0.015188,-0.004878
2.659963,-0.012672,-0.007285
2.664963,-0.008635,-0.003092
2.669963,-0.008160,0.003397
2.674963,-0.015021,0.013359
2.679963,-0.014033,0.015799
2.684963,-0.022743,0.009996
2.689963,-0.017756,0.005439
2.694963,-0.009790,0.001016
2.699963,-0.001889,-0.004083
2.704963,0.002670,-0.005003
2.709963,-0.002709,0.005472
2.714963,-0.004259,0.011723
2.719963,-0.012811,0.006650
2.724963,-0.011926,0.000046
2.729963,-0.008476,-0.003600
2.734963,0.002392,0.004814
2.739963,0.010453,0.013278
2.744963,0.003872,0.015793
2.749963,0.006003,0.009408
2.754963,0.000443,-0.003282
2.759963,0.006362,-0.000824
2.764963,0.016896,0.009528
2.769963,0.011970,0.016428
2.774963,0.006955,0.016599
2.779963,-0.000775,0.008505
2.784963,0.008092,0.015470
2.789963,0.018721,0.023823
2.794963,0.011140,0.020980
2.799963,0.010025,0.008703
2.804963,0.002979,-0.006442
2.809963,0.003074,0.005405
2.814963,0.012478,0.018988
2.819963,-0.000377,0.007547
2.824963,-0.008333,0.006910
2.829963,-0.001287,0.017580
2.834963,-0.002480,0.025096
2.839963,-0.003312,0.026132
2.844963,-0.011874,0.020039
2.849963,-0.014921,0.023643
2.854963,-0.005388,0.026817
2.859963,-0.017356,0.012874
2.864963,-0.020299,0.005634
2.869963,-0.007044,0.002545
2.874963,-0.013431,-0.006570
2.879963,-0.008138,-0.004402
2.884963,0.003543,-0.003632
2.889963,-0.004142,-0.015163
2.894963,-0.002385,-0.014430
2.899963,0.003779,-0.011196
2.904963,-0.000679,-0.019121
2.909963,0.005656,-0.013670
2.914963,0.016352,-0.006785
2.919963,0.013702,-0.019619
2.924963,0.009000,-0.027862
2.929963,0.016386,-0.018922
2.934963,0.020095,-0.009454
2.939963,0.007042,-0.009299
2.944963,0.001554,-0.010274
2.949963,0.004024,-0.006202
